
Territory,Headline PIT rate (%)
Albania,23
Algeria,35
Angola,25
Argentina,35
Armenia,20
Australia,45
Austria,55
Azerbaijan,25
"Bahamas, The",40
Bahrain,40
Bangladesh,30
Barbados,28.5
Belgium,50
Bermuda,40
Bolivia,13
Bosnia and Herzegovina,10
Botswana,25
Brazil,27.5
Brunei Darussalam,40
Bulgaria,10
Cabo Verde,27.5
Cambodia,20
"Cameroon, Republic of",38.5
Canada,33
Cayman Islands,40
Chad,30
Chile,40
"China, People's Republic of",45
Colombia,39
"Congo, Democratic Republic of the",40
"Congo, Republic of",40
Costa Rica,25
Croatia,36
Cyprus,35
Czech Republic,23
Denmark,52.07
Dominican Republic,25
Ecuador,37
Egypt,27.5
El Salvador,30
Equatorial Guinea,25
Estonia,22
Eswatini,33
Ethiopia,35
Finland,52
France,45
Gabon,35
Georgia,20
Germany,45
Ghana,35
Gibraltar,25
Greece,44
Greenland,10
Guatemala,7
"Guernsey, Channel Islands",20
Guyana,40
Honduras,25
Hong Kong SAR,16
Hungary,15
Iceland,31.35
India,39
Indonesia,35
Iraq,15
Ireland,40
Isle of Man,21
Israel,50
Italy,43
Ivory Coast (Côte d'Ivoire),32
Jamaica,30
Japan,45
"Jersey, Channel Islands",20
Jordan,30
Kazakhstan,15
Kenya,35
"Korea, Republic of",45
Kosovo,10
Kuwait,40
Lao PDR,25
Latvia,36
Lebanon,25
"Liberia, Republic of",25
Libya,10
Liechtenstein,22.4
Lithuania,32
Luxembourg,42
Macau SAR,12
Madagascar,20
Malaysia,30
Malta,35
Mauritania,40
Mauritius,20
Mexico,35
Moldova,12
Mongolia,20
Montenegro,15
Morocco,37
Mozambique,32
Myanmar,25
"Namibia, Republic of",37
Netherlands,49.5
New Caledonia,40
New Zealand,39
Nicaragua,30
Nigeria,24
North Macedonia,10
Norway,39.7
Oman,5
Pakistan,35
Palestinian territories,15
Panama,25
Papua New Guinea,42
Paraguay,10
Peru,30
Philippines,35
Poland,32
Portugal,48
Puerto Rico,33
Qatar,40
Romania,10
Rwanda,30
Saint Lucia,30
Saudi Arabia,40
Senegal,43
Serbia,20
Singapore,24
Slovak Republic,35
Slovenia,50
South Africa,45
Spain,47
Sweden,22.5
Switzerland,43.2
Taiwan,40
Tanzania,30
Thailand,35
Timor-Leste,10
Trinidad and Tobago,30
Tunisia,40
Turkey,40
Uganda,40
Ukraine,18
United Arab Emirates,40
United Kingdom,45
United States,37
Uruguay,36
"Uzbekistan, Republic of",12
Venezuela,34
Vietnam,35
Zambia,37
